id,popularity,original_title,director,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,cast1,cast2,cast3,cast4,cast5,production_companies1,production_companies2,production_companies3,production_companies4,production_companies5,genres1,genres2,genres3,genres4,genres5
131634,5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,11/18/15,2380,6.5,2015,147199935.232028,598481289.508232,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Studio Babelsberg,StudioCanal,Lionsgate,Walt Disney Studios Motion Pictures,Color Force,War,Adventure,Science Fiction,,
158852,5.462138,Tomorrowland,Brad Bird,130,5/19/15,1899,6.2,2015,174799923.088033,192312729.942398,Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie,Walt Disney Pictures,Babieka,A113,,,Action,Family,Science Fiction,Adventure,Mystery
307081,5.337064,Southpaw,Antoine Fuqua,123,6/15/15,1386,7.3,2015,27599987.8560053,84373003.7158783,Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent,Escape Artists,Riche-Ludwig Productions,,,,Action,Drama,,,
254128,4.907832,San Andreas,Brad Peyton,114,5/27/15,2060,6.1,2015,101199955.472019,432851374.985395,Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi,New Line Cinema,Village Roadshow Pictures,Warner Bros.,Flynn Picture Company,,Action,Drama,Thriller,,
216015,4.71040199999999,Fifty Shades of Grey,Sam Taylor-Johnson,125,2/11/15,1865,5.3,2015,36799983.8080071,524079119.045187,Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk,Focus Features,Trigger Street Productions,Michael De Luca Productions,,,Drama,Romance,,,
318846,4.648046,The Big Short,Adam McKay,130,12/11/15,1545,7.3,2015,25759988.6656049,122678731.541358,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,Paramount Pictures,Plan B Entertainment,Regency Enterprises,,,Comedy,Drama,,,
177677,4.566713,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,7/23/15,2349,7.1,2015,137999939.280026,627743451.672881,Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames,Paramount Pictures,Skydance Productions,China Movie Channel,Bad Robot,TC Productions,Action,,,,
214756,4.564549,Ted 2,Seth MacFarlane,115,6/25/15,1666,6.3,2015,62559972.4736121,198594430.13845,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi,Universal Pictures,Media Rights Capital,Fuzzy Door Productions,,,Comedy,,,,
207703,4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,1/24/15,3833,7.6,2015,74519967.2112144,371497801.660967,Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine,Mark Strong,Twentieth Century Fox Film Corporation,Marv Films,TSG Entertainment,Cloudy Productions,,Crime,Comedy,Action,Adventure,
314365,4.062293,Spotlight,Tom McCarthy,128,11/6/15,1559,7.8,2015,18399991.9040035,81278719.3973634,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Participant Media,Open Road Films,Anonymous Content,Rocklin / Faust,Entertainment One Features,Drama,Thriller,History,,
294254,3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,9/9/15,1849,6.4,2015,56119975.3072108,286356245.923251,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen,Gotham Group,Temple Hill Entertainment,TSG Entertainment,,,Action,Science Fiction,Thriller,,
198184,3.899557,Chappie,Neill Blomkamp,120,3/4/15,1990,6.6,2015,45079980.1648087,93903685.2423785,Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo,Columbia Pictures,Media Rights Capital,Sony Pictures Entertainment (SPE),Alpha Core,Genre Films,Crime,Action,Science Fiction,,
254470,3.877764,Pitch Perfect 2,Elizabeth Banks,115,5/7/15,1264,6.8,2015,26679988.2608051,264505582.097543,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,Universal Pictures,Gold Circle Films,Brownstone Productions,,,Comedy,Music,,,
296098,3.64821,Bridge of Spies,Steven Spielberg,141,10/15/15,1638,7.1,2015,36799983.8080071,149601569.335309,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Sebastian Koch,DreamWorks SKG,Amblin Entertainment,Studio Babelsberg,Fox 2000 Pictures,Marc Platt Productions,Thriller,Drama,,,
257445,3.644541,Goosebumps,Rob Letterman,103,8/5/15,600,6.2,2015,53359976.5216103,138157089.01088,Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Jillian Bell,Columbia Pictures,Original Film,Scholastic Entertainment,,,Adventure,Horror,Comedy,,
264644,3.557846,Room,Lenny Abrahamson,117,10/16/15,1520,8.0,2015,5519997.57120106,32569603.0293746,Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy,Element Pictures,No Trace Camping,A24,Duperele Films,,Drama,Thriller,,,
105864,3.339135,The Good Dinosaur,Peter Sohn,93,11/14/15,1087,6.6,2015,160999929.160031,305371920.876354,Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla,Walt Disney Pictures,Pixar Animation Studios,Buena Vista,,,Adventure,Animation,Comedy,Family,Fantasy
241554,3.23737,Run All Night,Jaume Collet-Serra,114,3/11/15,814,6.3,2015,45999979.7600089,65836683.5118592,Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill,Vertigo Entertainment,Energy Entertainment,RatPac-Dune Entertainment,,,Action,Crime,Drama,Mystery,Thriller
167073,3.227329,Brooklyn,John Crowley,111,11/4/15,754,7.3,2015,10119995.5472019,57110024.5915891,Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards,Eileen O'Higgins,Wildgaze Films,Irish Film Board,Item 7,Parallel Film Productions,,Drama,Romance,,,
277216,3.202719,Straight Outta Compton,F. Gary Gray,147,8/13/15,918,7.7,2015,25759988.6656049,185504110.098191,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,Aldis Hodge,New Line Cinema,Universal Pictures,Legendary Pictures,Cube Vision,Broken Chair Flickz,Drama,Music,,,
274854,3.080505,The Last Witch Hunter,Breck Eisner,106,10/21/15,879,5.6,2015,82799963.568016,129164861.167461,Vin Diesel,Rose Leslie,Michael Caine,Elijah Wood,Ã“lafur Darri Ã“lafsson,Summit Entertainment,Atmosphere Entertainment MM,One Race Films,Goldmann Pictures,NeoReel,Fantasy,Action,Adventure,,
321697,3.079522,Steve Jobs,Danny Boyle,122,10/9/15,1035,6.9,2015,27599987.8560053,31686509.2179359,Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston,Jeff Daniels,Universal Pictures,Scott Rudin Productions,Legendary Pictures,The Mark Gordon Company,Management 360,History,Drama,,,
203801,3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,8/13/15,1548,7.0,2015,68999969.6400133,99493456.5028791,Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki,Luca Calvani,Davis Entertainment,Warner Bros.,Wigram Productions,RatPac-Dune Entertainment,,Comedy,Action,Adventure,,
293863,3.025852,The Age of Adaline,Lee Toland Krieger,112,4/16/15,1221,7.3,2015,22999989.8800044,39219376.6634742,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Kathy Baker,Lakeshore Entertainment,Sidney Kimmel Entertainment,Sierra/Affinity,,,Fantasy,Drama,Romance,,
325348,3.023253,Hardcore Henry,Ilya Naishuller,97,9/12/15,396,5.9,2015,9199995.95200178,13187080.9976843,Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev,Bazelevs Production,Versus Pictures,,,,Action,Adventure,Science Fiction,,
228161,2.976436,Home,Tim Johnson,94,3/18/15,1060,6.9,2015,124199945.352024,339361177.121082,Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,Matt Jones,Twentieth Century Fox Film Corporation,DreamWorks Animation,,,,Fantasy,Comedy,Animation,Science Fiction,Family
286565,2.968254,Paper Towns,Jake Schreier,109,7/9/15,1252,6.2,2015,11039995.1424021,78671281.3846362,Nat Wolff,Cara Delevingne,Halston Sage,Justice Smith,Austin Abrams,Fox 2000 Pictures,,,,,Drama,Mystery,Romance,,
254320,2.885126,The Lobster,Yorgos Lanthimos,118,10/8/15,638,6.6,2015,3679998.38080071,8339346.45068756,Colin Farrell,Rachel Weisz,LÃ©a Seydoux,John C. Reilly,Ben Whishaw,Haut et Court,Eurimages,Lemming Film,Element Pictures,Nederlands Fonds voor de Film,Thriller,Comedy,Drama,Romance,Science Fiction
258480,2.883233,Carol,Todd Haynes,118,11/20/15,562,7.1,2015,10855995.2233621,37050347.8978469,Cate Blanchett,Rooney Mara,Kyle Chandler,Sarah Paulson,Jake Lacy,Killer Films,Film4,Number 9 Films,,,Romance,Drama,,,
257211,2.814802,The Intern,Nancy Meyers,121,9/24/15,1255,7.1,2015,32199985.8320062,178999419.480255,Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm,JoJo Kushner,Waverly Films,Warner Bros.,,,,Comedy,,,,
253412,2.798017,Everest,Baltasar KormÃ¡kur,121,9/10/15,1172,6.7,2015,50599977.7360098,187153294.93255,Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes,Sam Worthington,Universal Pictures,Working Title Films,Walden Media,Cross Creek Pictures,Free State Pictures,Adventure,Drama,,,
274479,2.793297,Joy,David O. Russell,124,12/24/15,1001,6.4,2015,55199975.7120106,93043293.3409509,Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco,Edgar RamÃ­rez,Fox 2000 Pictures,Davis Entertainment,Annapurna Pictures,TSG Entertainment,,Comedy,Drama,,,
257088,2.614499,Point Break,Ericson Core,114,12/3/15,505,5.5,2015,96599957.4960187,123021159.990689,Edgar RamÃ­rez,Luke Bracey,Teresa Palmer,Delroy Lindo,Ray Winstone,Studio Babelsberg,Alcon Entertainment,DMG Entertainment,Ehman Productions,,Action,Crime,Thriller,,
295964,2.584264,Burnt,John Wells,100,10/2/15,631,6.3,2015,18399991.9040035,33678188.7415969,Bradley Cooper,Sienna Miller,Lily James,Alicia Vikander,Uma Thurman,Double Feature Films,PeaPie Films,3 Arts Entertainment,,,Drama,,,,
238615,2.578919,Self/less,Tarsem Singh,116,7/10/15,719,6.2,2015,23919989.4752046,28081355.5642035,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode,Michelle Dockery,Endgame Entertainment,Ram Bergman Productions,,,,Science Fiction,Mystery,Thriller,,
210860,2.575711,Mortdecai,David Koepp,106,1/21/15,696,5.3,2015,55199975.7120106,27985062.8865723,Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn,Lionsgate,Mad Chance,OddLot Entertainment,Huayi Brothers Media,,Comedy,Adventure,,,
306819,2.557859,The Danish Girl,Tom Hooper,120,11/27/15,867,7.3,2015,13799993.9280026,59056175.1752829,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Amber Heard,Ben Whishaw,Pretty Pictures,Working Title Films,ArtÃ©mis Productions,Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique,Taxshelter. be,Drama,,,,
201088,2.550747,Blackhat,Michael Mann,133,1/13/15,584,5.0,2015,64399971.6640124,16332697.613613,Chris Hemsworth,Leehom Wang,Tang Wei,Viola Davis,Holt McCallany,Universal Pictures,Forward Pass,Legendary Pictures,,,Mystery,Crime,Action,Thriller,Drama
273481,2.487849,Sicario,Denis Villeneuve,121,9/17/15,1479,7.1,2015,27599987.8560053,77303716.7063646,Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal,Lionsgate,Thunder Road Pictures,Black Label Media,,,Action,Crime,Drama,Mystery,Thriller
166424,2.487042,Fantastic Four,Josh Trank,100,8/5/15,1565,4.4,2015,110399952.34402,154539320.322699,Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell,Toby Kebbell,Twentieth Century Fox Film Corporation,Marv Films,Marvel Entertainment,Constantin Film.,Moving Picture Company (MPC),Action,Adventure,Science Fiction,,
310131,2.46449,The Witch,Robert Eggers,92,3/24/15,700,5.8,2015,3219998.58320062,37190013.0363942,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Ellie Grainger,Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Pictures,Pulse Films,Mystery,Horror,,,
238713,2.404473,Spy,Paul Feig,120,5/6/15,1840,6.9,2015,59799973.6880115,216812826.082356,Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale,Twentieth Century Fox Film Corporation,Chernin Entertainment,Feigco Entertainment,,,Action,Comedy,Crime,,
256591,2.395366,Focus,Glenn Ficarra|John Requa,105,2/25/15,1831,6.7,2015,46091979.7195289,141645863.63582,Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor,Gerald McRaney,Kramer & Sigman Films,RatPac-Dune Entertainment,Zaftig Films,,,Romance,Comedy,Crime,Drama,
249070,2.354654,Hitman: Agent 47,Aleksander Bach,96,8/20/15,820,5.5,2015,32199985.8320062,75759810.1856835,Rupert Friend,Zachary Quinto,Hannah Ware,Emilio Rivera,Rolf Kanies,Twentieth Century Fox Film Corporation,Fox International Productions,Infinite Frameworks Studios,TSG Entertainment,,Action,Crime,Thriller,,
205775,2.345821,In the Heart of the Sea,Ron Howard,122,11/20/15,805,6.4,2015,91999959.5200178,86315059.3813738,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw,Imagine Entertainment,Spring Creek Productions,Warner Bros.,Roth Films,K. JAM Media,Thriller,Drama,Adventure,Action,History
312221,2.331567,Creed,Ryan Coogler,133,11/25/15,1171,7.3,2015,32199985.8320062,126900665.803707,Michael B. Jordan,Sylvester Stallone,Graham McTavish,Tessa Thompson,Phylicia RashÄd,New Line Cinema,Warner Bros.,Metro-Goldwyn-Mayer (MGM),Chartoff-Winkler Productions,,Drama,,,,
271718,2.31767,Trainwreck,Judd Apatow,125,7/17/15,849,6.1,2015,32199985.8320062,129532072.565888,Amy Schumer,Bill Hader,Brie Larson,Colin Quinn,Vanessa Bayer,Universal Pictures,Fuji Television Network,Dentsu,Apatow Productions,,Comedy,,,,
333352,2.29573,Eye in the Sky,Gavin Hood,102,9/11/15,265,7.2,2015,11959994.7376023,30220316.9030605,Helen Mirren,Aaron Paul,Alan Rickman,Iain Glen,Barkhad Abdi,Entertainment One,Moonlighting Films,Raindog Films,,,Drama,Thriller,War,,
276907,2.28135,Legend,Brian Helgeland,131,9/9/15,619,6.7,2015,22999989.8800044,39535137.0845396,Tom Hardy,Emily Browning,Christopher Eccleston,David Thewlis,Taron Egerton,Working Title Films,Cross Creek Pictures,Anton Capital Entertainment (ACE),,,Crime,Thriller,,,
266647,2.234573,Pan,Joe Wright,111,9/24/15,586,5.9,2015,137999939.280026,118117202.42843,Levi Miller,Garrett Hedlund,Hugh Jackman,Rooney Mara,Amanda Seyfried,Warner Bros.,Moving Picture Company (MPC),Berlanti Productions,RatPac-Dune Entertainment,,Adventure,Family,Fantasy,,
227973,2.140199,The Peanuts Movie,Steve Martino,88,11/5/15,414,6.4,2015,91079959.9248176,226534364.284879,Noah Schnapp,Bill Melendez,Venus Schultheis,Hadley Belle Miller,Madisyn Shipman,Blue Sky Studios,Twentieth Century Fox Animation,Feigco Entertainment,,,Adventure,Animation,Comedy,Family,
321741,2.121884,Concussion,Peter Landesman,123,11/12/15,500,6.9,2015,32199985.8320062,44733666.5571867,Will Smith,Bitsie Tulloch,Gugu Mbatha-Raw,Alec Baldwin,Matthew Willig,Village Roadshow Pictures,Scott Free Productions,LStar Capital,The Cantillon Company,The Shuman Company,Drama,,,,
296100,2.096273,The Night Before,Jonathan Levine,100,11/20/15,363,6.1,2015,22999989.8800044,48204295.1101101,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,Lizzy Caplan,Jillian Bell,Sony Pictures,Point Grey Pictures,Good Universe,,,Comedy,,,,
263472,2.080935,Knock Knock,Eli Roth,99,6/26/15,473,4.8,2015,2299998.98800044,4796917.44935632,Keanu Reeves,Lorenza Izzo,Ana de Armas,Aaron Burns,Colleen Camp,Universum Film (UFA),Dragonfly Entertainment,Black Bear Pictures,Square One Entertainment,Sobras International Pictures,Drama,Horror,Thriller,,
228205,2.070708,The Longest Ride,"George Tillman, Jr.",128,4/9/15,711,7.3,2015,31279986.236806,57972193.012235,Scott Eastwood,Britt Robertson,Lolita Davidovich,Melissa Benoist,Jack Huston,Fox 2000 Pictures,Temple Hill Entertainment,,,,Romance,Drama,,,
159824,2.060162,Hotel Transylvania 2,Genndy Tartakovsky,89,9/21/15,919,6.8,2015,73599967.6160142,428888671.768984,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,Columbia Pictures,Sony Pictures Animation,,,,Animation,Comedy,Family,,
333348,2.055572,Love the Coopers,Jessie Nelson,107,11/12/15,111,5.3,2015,15639993.118403,22079990.2848042,Steve Martin,Diane Keaton,John Goodman,Alan Arkin,Olivia Wilde,Imagine Entertainment,Groundswell Productions,CBS Films,,,Family,Comedy,,,
285783,2.049886,The Walk,Robert Zemeckis,123,9/30/15,706,6.8,2015,32199985.8320062,56287361.8735607,Joseph Gordon-Levitt,Ben Kingsley,Charlotte Le Bon,Ben Schwartz,James Badge Dale,TriStar Pictures,Sony Pictures Entertainment,ImageMovers,,,Adventure,Drama,Thriller,,
290764,2.026651,Tracers,Daniel Benmayor,94,1/15/15,326,5.9,2015,10119995.5472019,1714249.04573042,Marie Avgeropoulos,Taylor Lautner,Adam Rayner,Rafi Gavron,Sam Medina,Temple Hill Entertainment,Senator Film,Freerunning,Melbarken,Saban Films,Action,Crime,Drama,,
296099,2.000338,Vacation,John Francis Daley|Jonathan M. Goldstein,99,7/28/15,846,6.1,2015,28519987.4512055,96033410.7052992,Ed Helms,Christina Applegate,Skyler Gisondo,Steele Stebbins,Chris Hemsworth,New Line Cinema,BenderSpink,David Dobkin Productions,,,Adventure,Comedy,,,
243688,1.984529,Poltergeist,Gil Kenan,93,5/20/15,589,5.0,2015,32199985.8320062,87802915.846717,Sam Rockwell,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett,Kennedi Clements,Ghost House Pictures,Vertigo Entertainment,Metro-Goldwyn-Mayer (MGM),TSG Entertainment,,Horror,Thriller,,,
287424,1.980039,Maggie,Henry Hobson,95,5/8/15,384,5.1,2015,3679998.38080071,172142.964257095,Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,Laura Cayouette,J.D. Evermore,Lionsgate,Grindstone Entertainment Group,Silver Reel,Sly Predator,Matt Baer Films,Horror,,,,
181283,1.95632,Child 44,Daniel Espinosa,137,3/15/15,341,5.9,2015,45999979.7600089,3058382.2543118,Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman,Paddy Considine,Summit Entertainment,Scott Free Productions,Worldview Entertainment,,,Crime,Thriller,,,
328425,1.926739,The Gift,Joel Edgerton,108,7/30/15,631,6.6,2015,4599997.97600089,54260336.8854517,Jason Bateman,Rebecca Hall,Joel Edgerton,David Denman,Beau Knapp,Blumhouse Productions,Blue-Tongue Films,STX Entertainment,Ahimsa Films,,Thriller,Mystery,,,
274167,1.904898,Daddy's Home,Sean Anders,96,12/25/15,568,5.7,2015,45999979.7600089,221131463.342156,Will Ferrell,Mark Wahlberg,Linda Cardellini,Thomas Haden Church,Hannibal Buress,Paramount Pictures,Gary Sanchez Productions,Good Universe,Red Granite Pictures,,Comedy,,,,
309809,1.865007,The Little Prince,Mark Osborne,92,7/29/15,423,7.5,2015,58879974.0928114,89765510.5031753,Jeff Bridges,Rachel McAdams,Paul Rudd,Marion Cotillard,James Franco,Onyx Films,Orange Studios,CityMation,On Entertainment,Zippcast Films,Adventure,Animation,Fantasy,,
298382,1.82313,The Dressmaker,Jocelyn Moorhouse,118,10/1/15,197,6.9,2015,10975595.1707381,16872792.5759712,Kate Winslet,Liam Hemsworth,Caroline Goodall,Judy Davis,Hayley Magnus,Amazon Studios,Film Art Media,Apollo Media,,,Drama,,,,
272693,1.758618,The DUFF,Ari Sandel,100,2/20/15,753,6.8,2015,7819996.55920151,40046325.6596167,Mae Whitman,Robbie Amell,Bella Thorne,Bianca A. Santos,Skyler Samuels,Wonderland Sound and Vision,CBS Films,Vast Entertainment,,,Romance,Comedy,,,
283445,1.742286,Sinister 2,Ciaran Foy,97,8/19/15,331,5.5,2015,9199995.95200178,48651435.1533685,Shannyn Sossamon,James Ransone,Tate Ellington,Nicholas King,Lucas Jade Zumann,Alliance Films,Blumhouse Productions,IM Global,Automatik Entertainment,Entertainment One,Horror,,,,
256961,1.73518,Paul Blart: Mall Cop 2,Andy Fickman,94,4/16/15,422,5.3,2015,27599987.8560053,98989419.0846556,Kevin James,Raini Rodriguez,Eduardo VerÃ¡stegui,Daniella Alonso,Neal McDonough,Columbia Pictures,Happy Madison Productions,Sony Pictures Releasing,Sony Pictures Home Entertainment,Sony Pictures Entertainment (SPE),Action,Adventure,Comedy,Family,
241251,1.65107799999999,The Boy Next Door,Rob Cohen,91,1/23/15,810,3.9,2015,3679998.38080071,46150034.4539848,Jennifer Lopez,Ryan Guzman,Ian Nelson,John Corbett,Kristin Chenoweth,Universal Pictures,Nuyorican Productions,Blumhouse Productions,Smart Entertainment,,Thriller,,,,
188222,1.532997,Entourage,Doug Ellin,104,6/3/15,364,6.2,2015,27599987.8560053,45322311.7381828,Jeremy Piven,Adrian Grenier,Jerry Ferrara,Kevin Connolly,Kevin Dillon,Warner Bros.,Closest to the Hole Productions,,,,Comedy,,,,
